Subject,Year,State,value,percentage
Average Margin-Douglas,2020,South Dakota,59.04,59.04
Average Margin-Edmunds,2020,South Dakota,33.34,33.34
Average Margin-Fall river,2020,South Dakota,33.3,33.3
Average Margin-Faulk,2020,South Dakota,40.24,40.24
Average Margin-Grant,2020,South Dakota,19.5,19.5
Average Margin-Gregory,2020,South Dakota,39.62,39.62
Average Margin-Haakon,2020,South Dakota,70.93,70.93
Average Margin-Hamlin,2020,South Dakota,33.83,33.83
Average Margin-Hand,2020,South Dakota,40.1,40.1
Average Margin-Hanson,2020,South Dakota,34.5,34.5
Average Margin-Harding,2020,South Dakota,75.52,75.52
Average Margin-Hughes,2020,South Dakota,33.48,33.48
Average Margin-Hutchinson,2020,South Dakota,41.96,41.96
Average Margin-Hyde,2020,South Dakota,46.97,46.97
Average Margin-Jackson,2020,South Dakota,26.26,26.26
Average Margin-Jerauld,2020,South Dakota,16.53,16.53
Average Margin-Jones,2020,South Dakota,59.79,59.79
Average Margin-Kingsbury,2020,South Dakota,19.97,19.97
Average Margin-Lake,2020,South Dakota,11.5,11.5
Average Margin-Lawerence,2020,South Dakota,29.15,29.15
Average Margin-Lincoln,2020,South Dakota,25.62,25.62
Average Margin-Lyman,2020,South Dakota,22.32,22.32
Average Margin-Marshall,2020,South Dakota,4.24,4.24
Average Margin-McCook,2020,South Dakota,33.76,33.76
Average Margin-McPherson,2020,South Dakota,41.77,41.77
Average Margin-Meade,2020,South Dakota,45.19,45.19
Average Margin-Mellette,2020,South Dakota,18.29,18.29
Average Margin-Miner,2020,South Dakota,15.75,15.75
Average Margin-Minnehaha,2020,South Dakota,9.39,9.39
Average Margin-Moody,2020,South Dakota,5.79,5.79
Average Margin-Pennington,2020,South Dakota,31.25,31.25
Average Margin-Perkins,2020,South Dakota,54.62,54.62
Average Margin-Potter,2020,South Dakota,47.72,47.72
Average Margin-Roberts,2020,South Dakota,-0.75,-0.75
Average Margin-Sanbron,2020,South Dakota,26.58,26.58
Average Margin-Shannon,2020,South Dakota,-78,-78
Average Margin-Spink,2020,South Dakota,17.76,17.76
Average Margin-Stanely,2020,South Dakota,41.46,41.46
Average Margin-Sully,2020,South Dakota,52.24,52.24
Average Margin-Todd,2020,South Dakota,-49.49,-49.49
Average Margin-Tripp,2020,South Dakota,43.48,43.48
Average Margin-Turner,2020,South Dakota,31.22,31.22
Average Margin-Union,2020,South Dakota,21.57,21.57
Average Margin-Walworth,2020,South Dakota,41.67,41.67
Average Margin-Yankton,2020,South Dakota,14.21,14.21
Average Margin-Ziebach,2020,South Dakota,-9.97,-9.97
Avg Rep Vote Share-Aurora,2020,South Dakota,60.52,60.52
Avg Rep Vote Share-Beadle,2020,South Dakota,58.38,58.38
Avg Rep Vote Share-Bennett,2020,South Dakota,55.47,55.47
Avg Rep Vote Share-Bon Homme,2020,South Dakota,61.39,61.39
Avg Rep Vote Share-Brookings,2020,South Dakota,52.88,52.88
Avg Rep Vote Share-Brown,2020,South Dakota,53.82,53.82
Avg Rep Vote Share-Brule,2020,South Dakota,61.59,61.59
Avg Rep Vote Share-Buffalo,2020,South Dakota,29.44,29.44
Avg Rep Vote Share-Butte,2020,South Dakota,73.5,73.5
Avg Rep Vote Share-Campbell,2020,South Dakota,77.65,77.65
Avg Rep Vote Share-Charles Mix,2020,South Dakota,59.48,59.48
Avg Rep Vote Share-Clark,2020,South Dakota,61.11,61.11
Avg Rep Vote Share-Clay,2020,South Dakota,42.09,42.09
Avg Rep Vote Share-Codington,2020,South Dakota,59.84,59.84
Avg Rep Vote Share-Corson,2020,South Dakota,44.88,44.88
Avg Rep Vote Share-Custer,2020,South Dakota,68.32,68.32
Avg Rep Vote Share-Davison,2020,South Dakota,60.55,60.55
Avg Rep Vote Share-Day,2020,South Dakota,49.32,49.32
Avg Rep Vote Share-Deuel,2020,South Dakota,56.97,56.97
Avg Rep Vote Share-Dewey,2020,South Dakota,38.35,38.35
Avg Rep Vote Share-Douglas,2020,South Dakota,78.72,78.72
Avg Rep Vote Share-Edmunds,2020,South Dakota,65.44,65.44
Avg Rep Vote Share-Fall river,2020,South Dakota,65.23,65.23
Avg Rep Vote Share-Faulk,2020,South Dakota,69.01,69.01
Avg Rep Vote Share-Grant,2020,South Dakota,58.46,58.46
Avg Rep Vote Share-Gregory,2020,South Dakota,68.7,68.7
Avg Rep Vote Share-Haakon,2020,South Dakota,84.69,84.69
Avg Rep Vote Share-Hamlin,2020,South Dakota,65.68,65.68
Avg Rep Vote Share-Hand,2020,South Dakota,68.97,68.97
Avg Rep Vote Share-Hanson,2020,South Dakota,66.45,66.45
Avg Rep Vote Share-Harding,2020,South Dakota,86.58,86.58
Avg Rep Vote Share-Hughes,2020,South Dakota,65.57,65.57
Avg Rep Vote Share-Hutchinson,2020,South Dakota,69.99,69.99
Avg Rep Vote Share-Hyde,2020,South Dakota,72.58,72.58
Avg Rep Vote Share-Jackson,2020,South Dakota,61.88,61.88
Avg Rep Vote Share-Jerauld,2020,South Dakota,57.12,57.12
Avg Rep Vote Share-Jones,2020,South Dakota,78.49,78.49
Avg Rep Vote Share-Kingsbury,2020,South Dakota,58.68,58.68
Avg Rep Vote Share-Lake,2020,South Dakota,54.46,54.46
Avg Rep Vote Share-Lawerence,2020,South Dakota,62.82,62.82
Avg Rep Vote Share-Lincoln,2020,South Dakota,61.71,61.71
Avg Rep Vote Share-Lyman,2020,South Dakota,60.02,60.02
Avg Rep Vote Share-Marshall,2020,South Dakota,50.92,50.92
Avg Rep Vote Share-McCook,2020,South Dakota,65.51,65.51
Avg Rep Vote Share-McPherson,2020,South Dakota,69.84,69.84
Avg Rep Vote Share-Meade,2020,South Dakota,71.05,71.05
Avg Rep Vote Share-Mellette,2020,South Dakota,57.95,57.95
Avg Rep Vote Share-Miner,2020,South Dakota,56.65,56.65
Avg Rep Vote Share-Minnehaha,2020,South Dakota,53.48,53.48
Avg Rep Vote Share-Moody,2020,South Dakota,51.77,51.77
Avg Rep Vote Share-Pennington,2020,South Dakota,64.2,64.2
Avg Rep Vote Share-Perkins,2020,South Dakota,75.51,75.51
Avg Rep Vote Share-Potter,2020,South Dakota,73.13,73.13
Avg Rep Vote Share-Roberts,2020,South Dakota,48.47,48.47
Avg Rep Vote Share-Sanbron,2020,South Dakota,61.93,61.93
Avg Rep Vote Share-Shannon,2020,South Dakota,9.95,9.95
Avg Rep Vote Share-Spink,2020,South Dakota,57.78,57.78
Avg Rep Vote Share-Stanely,2020,South Dakota,69.53,69.53
Avg Rep Vote Share-Sully,2020,South Dakota,74.88,74.88
Avg Rep Vote Share-Todd,2020,South Dakota,24.12,24.12
Avg Rep Vote Share-Tripp,2020,South Dakota,70.85,70.85
Avg Rep Vote Share-Turner,2020,South Dakota,64.4,64.4
Avg Rep Vote Share-Union,2020,South Dakota,59.81,59.81
Avg Rep Vote Share-Walworth,2020,South Dakota,69.68,69.68
Avg Rep Vote Share-Yankton,2020,South Dakota,55.7,55.7
Avg Rep Vote Share-Ziebach,2020,South Dakota,43.74,43.74
Avg Dem Vote Share-Aurora,2020,South Dakota,36.6,36.6
Avg Dem Vote Share-Beadle,2020,South Dakota,39.27,39.27
Avg Dem Vote Share-Bennett,2020,South Dakota,41.87,41.87
Avg Dem Vote Share-Bon Homme,2020,South Dakota,36.19,36.19
Avg Dem Vote Share-Brookings,2020,South Dakota,44.08,44.08
Avg Dem Vote Share-Brown,2020,South Dakota,43.57,43.57
Avg Dem Vote Share-Brule,2020,South Dakota,35.53,35.53
Avg Dem Vote Share-Buffalo,2020,South Dakota,68.58,68.58
Avg Dem Vote Share-Butte,2020,South Dakota,23.55,23.55
Avg Dem Vote Share-Campbell,2020,South Dakota,20.43,20.43
Avg Dem Vote Share-Charles Mix,2020,South Dakota,38.8,38.8
Avg Dem Vote Share-Clark,2020,South Dakota,36.42,36.42
Avg Dem Vote Share-Clay,2020,South Dakota,55.2,55.2
Avg Dem Vote Share-Codington,2020,South Dakota,37.82,37.82
Avg Dem Vote Share-Corson,2020,South Dakota,52.21,52.21
Avg Dem Vote Share-Custer,2020,South Dakota,28.65,28.65
Avg Dem Vote Share-Davison,2020,South Dakota,37.22,37.22
Avg Dem Vote Share-Day,2020,South Dakota,48.42,48.42
Avg Dem Vote Share-Deuel,2020,South Dakota,40.28,40.28
Avg Dem Vote Share-Dewey,2020,South Dakota,59.49,59.49
Avg Dem Vote Share-Douglas,2020,South Dakota,19.68,19.68
Avg Dem Vote Share-Edmunds,2020,South Dakota,32.1,32.1
Avg Dem Vote Share-Fall river,2020,South Dakota,31.93,31.93
Avg Dem Vote Share-Faulk,2020,South Dakota,28.78,28.78
Avg Dem Vote Share-Grant,2020,South Dakota,38.97,38.97
Avg Dem Vote Share-Gregory,2020,South Dakota,29.08,29.08
Avg Dem Vote Share-Haakon,2020,South Dakota,13.76,13.76
Avg Dem Vote Share-Hamlin,2020,South Dakota,31.85,31.85
Avg Dem Vote Share-Hand,2020,South Dakota,28.87,28.87
Avg Dem Vote Share-Hanson,2020,South Dakota,31.94,31.94
Avg Dem Vote Share-Harding,2020,South Dakota,11.06,11.06
Avg Dem Vote Share-Hughes,2020,South Dakota,32.08,32.08
Avg Dem Vote Share-Hutchinson,2020,South Dakota,28.03,28.03
Avg Dem Vote Share-Hyde,2020,South Dakota,25.61,25.61
Avg Dem Vote Share-Jackson,2020,South Dakota,35.63,35.63
Avg Dem Vote Share-Jerauld,2020,South Dakota,40.59,40.59
Avg Dem Vote Share-Jones,2020,South Dakota,18.71,18.71
Avg Dem Vote Share-Kingsbury,2020,South Dakota,38.72,38.72
Avg Dem Vote Share-Lake,2020,South Dakota,42.96,42.96
Avg Dem Vote Share-Lawerence,2020,South Dakota,33.67,33.67
Avg Dem Vote Share-Lincoln,2020,South Dakota,36.09,36.09
Avg Dem Vote Share-Lyman,2020,South Dakota,37.69,37.69
Avg Dem Vote Share-Marshall,2020,South Dakota,46.68,46.68
Avg Dem Vote Share-McCook,2020,South Dakota,31.76,31.76
Avg Dem Vote Share-McPherson,2020,South Dakota,28.07,28.07
Avg Dem Vote Share-Meade,2020,South Dakota,25.86,25.86
Avg Dem Vote Share-Mellette,2020,South Dakota,39.66,39.66
Avg Dem Vote Share-Miner,2020,South Dakota,40.9,40.9
Avg Dem Vote Share-Minnehaha,2020,South Dakota,44.08,44.08
Avg Dem Vote Share-Moody,2020,South Dakota,45.98,45.98
Avg Dem Vote Share-Pennington,2020,South Dakota,32.94,32.94
Avg Dem Vote Share-Perkins,2020,South Dakota,20.89,20.89
Avg Dem Vote Share-Potter,2020,South Dakota,25.41,25.41
Avg Dem Vote Share-Roberts,2020,South Dakota,49.22,49.22
Avg Dem Vote Share-Sanbron,2020,South Dakota,35.35,35.35
Avg Dem Vote Share-Shannon,2020,South Dakota,87.95,87.95
Avg Dem Vote Share-Spink,2020,South Dakota,40.03,40.03
Avg Dem Vote Share-Stanely,2020,South Dakota,28.07,28.07
Avg Dem Vote Share-Sully,2020,South Dakota,22.64,22.64
Avg Dem Vote Share-Todd,2020,South Dakota,73.61,73.61
Avg Dem Vote Share-Tripp,2020,South Dakota,27.36,27.36
Avg Dem Vote Share-Turner,2020,South Dakota,33.19,33.19
Avg Dem Vote Share-Union,2020,South Dakota,38.24,38.24
Avg Dem Vote Share-Walworth,2020,South Dakota,28.01,28.01
Avg Dem Vote Share-Yankton,2020,South Dakota,41.49,41.49
Avg Dem Vote Share-Ziebach,2020,South Dakota,53.71,53.71
Aurora,0,South Dakota,0,0
Beadle,0,South Dakota,0,0
Bennett,0,South Dakota,0,0
Bon Homme,0,South Dakota,0,0
Brookings,0,South Dakota,0,0
Brown,0,South Dakota,0,0
Brule,0,South Dakota,0,0
Buffalo,0,South Dakota,0,0
Butte,0,South Dakota,0,0
Campbell,0,South Dakota,0,0
Charles Mix,0,South Dakota,0,0
Clark,0,South Dakota,0,0
Clay,0,South Dakota,0,0
Codington,0,South Dakota,0,0
Corson,0,South Dakota,0,0
Custer,0,South Dakota,0,0
Davison,0,South Dakota,0,0
Day,0,South Dakota,0,0
Deuel,0,South Dakota,0,0
Dewey,0,South Dakota,0,0
Douglas,0,South Dakota,0,0
Edmunds,0,South Dakota,0,0
Fall river,0,South Dakota,0,0
Faulk,0,South Dakota,0,0
Grant,0,South Dakota,0,0
Gregory,0,South Dakota,0,0
Haakon,0,South Dakota,0,0
Hamlin,0,South Dakota,0,0
Hand,0,South Dakota,0,0
Hanson,0,South Dakota,0,0
Harding,0,South Dakota,0,0
Hughes,0,South Dakota,0,0
Hutchinson,0,South Dakota,0,0
Hyde,0,South Dakota,0,0
Jackson,0,South Dakota,0,0
Jerauld,0,South Dakota,0,0
Jones,0,South Dakota,0,0
Kingsbury,0,South Dakota,0,0
Lake,0,South Dakota,0,0
Lawerence,0,South Dakota,0,0
Lincoln,0,South Dakota,0,0
Lyman,0,South Dakota,0,0
Marshall,0,South Dakota,0,0
McCook,0,South Dakota,0,0
McPherson,0,South Dakota,0,0
Meade,0,South Dakota,0,0
Mellette,0,South Dakota,0,0
Miner,0,South Dakota,0,0
Minnehaha,0,South Dakota,0,0
Moody,0,South Dakota,0,0
Pennington,0,South Dakota,0,0
Perkins,0,South Dakota,0,0
Potter,0,South Dakota,0,0
Roberts,0,South Dakota,0,0
Sanbron,0,South Dakota,0,0
Shannon,0,South Dakota,0,0
Spink,0,South Dakota,0,0
Stanely,0,South Dakota,0,0
Sully,0,South Dakota,0,0
Todd,0,South Dakota,0,0
Tripp,0,South Dakota,0,0
Turner,0,South Dakota,0,0
Union,0,South Dakota,0,0
Walworth,0,South Dakota,0,0
Yankton,0,South Dakota,0,0
Ziebach,0,South Dakota,0,0
